w,2022:07:20,17:19:23,27.00 , 95.00
w,2022:07:20,17:24:23,24.00 , 95.00
w,2022:07:20,17:29:23,20.70 , 93.00
w,2022:07:20,17:34:23,20.60 , 93.00
w,2022:07:20,17:39:23,22.00 , 95.00
w,2022:07:20,17:44:23,22.50 , 95.00
w,2022:07:20,17:49:23,21.70 , 94.00
w,2022:07:20,17:54:23,21.60 , 94.00
w,2022:07:20,17:59:23,22.50 , 95.00
w,2022:07:20,18:04:23,23.40 , 95.00
w,2022:07:20,18:09:23,24.20 , 95.00
w,2022:07:20,18:14:23,24.40 , 95.00
w,2022:07:20,18:19:23,24.50 , 95.00
w,2022:07:20,18:24:23,23.30 , 95.00
w,2022:07:20,18:29:23,23.10 , 95.00
w,2022:07:20,18:34:23,23.10 , 95.00
w,2022:07:20,18:39:23,22.20 , 95.00
w,2022:07:20,18:44:23,22.00 , 95.00
w,2022:07:20,18:49:23,21.60 , 94.00
w,2022:07:20,18:54:23,21.70 , 94.00
w,2022:07:20,18:59:23,21.80 , 94.00
w,2022:07:20,19:04:23,21.80 , 94.00
w,2022:07:20,19:09:23,21.60 , 94.00
w,2022:07:20,19:14:23,21.70 , 94.00
w,2022:07:20,19:19:23,21.70 , 94.00
w,2022:07:20,19:24:23,21.40 , 94.00
w,2022:07:20,19:29:23,21.30 , 94.00
w,2022:07:20,19:34:23,21.20 , 94.00
w,2022:07:20,19:39:23,21.00 , 94.00
w,2022:07:20,19:44:23,20.60 , 93.00
p,2022:07:20,19:45:59,1
w,2022:07:20,19:49:23,20.20 , 93.00
p,2022:07:20,19:50:50,1
w,2022:07:20,19:54:23,20.10 , 93.00
w,2022:07:20,19:59:23,20.60 , 93.00
w,2022:07:20,20:04:23,21.50 , 94.00
w,2022:07:20,20:09:23,21.10 , 94.00
w,2022:07:20,20:14:23,21.10 , 94.00
w,2022:07:20,20:19:23,21.00 , 94.00
w,2022:07:20,20:24:23,20.80 , 93.00
w,2022:07:20,20:29:23,21.00 , 94.00
w,2022:07:20,20:34:23,21.00 , 94.00
w,2022:07:20,20:39:23,20.80 , 93.00
w,2022:07:20,20:44:23,20.40 , 93.00
w,2022:07:20,20:49:23,20.10 , 93.00
w,2022:07:20,20:54:23,19.90 , 93.00
w,2022:07:20,20:59:23,19.80 , 93.00
w,2022:07:20,21:04:23,19.60 , 93.00
w,2022:07:20,21:09:23,19.60 , 93.00
w,2022:07:20,21:14:23,19.60 , 93.00
w,2022:07:20,21:19:23,19.50 , 93.00
w,2022:07:20,21:24:23,19.50 , 93.00
w,2022:07:20,21:29:23,19.30 , 93.00
w,2022:07:20,21:34:23,19.40 , 93.00
